stop_id,stop_name,code,distance,stop_points/0/code,stop_points/0/stop_id,stop_points/0/stop_lat,stop_points/0/stop_lon,stop_points/0/stop_name,stop_points/1/code,stop_points/1/stop_id,stop_points/1/stop_lat,stop_points/1/stop_lon,stop_points/1/stop_name,stop_points/2/code,stop_points/2/stop_id,stop_points/2/stop_lat,stop_points/2/stop_lon,stop_points/2/stop_name,stop_points/3/code,stop_points/3/stop_id,stop_points/3/stop_lat,stop_points/3/stop_lon,stop_points/3/stop_name,stop_points/4/code,stop_points/4/stop_id,stop_points/4/stop_lat,stop_points/4/stop_lon,stop_points/4/stop_name,stop_points/5/code,stop_points/5/stop_id,stop_points/5/stop_lat,stop_points/5/stop_lon,stop_points/5/stop_name
5THERKA,Fifth and Eureka,MTD1232,22135.66,MTD1232,5THERKA:2,40.125082,-88.232077,Fifth & Eureka (SE Corner),MTD1232,5THERKA:4,40.125265,-88.232165,Fifth & Eureka (NW Corner),,,,,,,,,,,,,,,,,,,,
5THGRV,Fifth and Grove,MTD2337,21949.84,MTD2337,5THGRV:2,40.123022,-88.232075,Fifth & Grove (SE Corner),MTD2337,5THGRV:4,40.123243,-88.232132,Fifth & Grove (NW Corner),,,,,,,,,,,,,,,,,,,,
5THWASH,Fifth and Washington,MTD5571,21694.64,MTD5571,5THWASH:3,40.1202,-88.232265,5th & Washington (SW Corner),MTD5571,5THWASH:4,40.120345,-88.232147,Fifth & Washington (NW Corner),,,,,,,,,,,,,,,,,,,,
6THARY,Sixth and Armory,MTD2214,21822.1,MTD2214,6THARY:4,40.105608,-88.230338,Sixth & Armory (NW Corner),MTD2214,6THARY:7,40.105081,-88.230438,Sixth & Armory (SW Far Side),,,,,,,,,,,,,,,,,,,,
6THBRAD,Sixth and Bradley,MTD5422,22798.19,MTD5422,6THBRAD:1,40.127377,-88.23035,Sixth & Bradley (NE Corner),MTD5422,6THBRAD:3,40.127252,-88.230602,Sixth & Bradley (SW Corner),,,,,,,,,,,,,,,,,,,,
6THGRG,Sixth and Gregory,MTD1523,21871.83,MTD1523,6THGRG:2,40.104025,-88.230225,Sixth & Gregory (SE Corner),MTD1523,6THGRG:4,40.104283,-88.230312,Sixth & Gregory (NW Corner),,,,,,,,,,,,,,,,,,,,
6THPDY,Sixth and Peabody,MTD0153,21980.99,MTD0153,6THPDY:2,40.101385,-88.230142,Sixth & Peabody (SE Corner),MTD0153,6THPDY:3,40.101457,-88.2304,Sixth & Peabody (SW Corner),MTD0153,6THPDY:4,40.101652,-88.230297,Sixth & Peabody (NW Corner),,,,,,,,,,,,,,,
ADRSNBKWD,Anderson and Burkwood,MTD7460,30782.89,MTD7460,ADRSNBKWD:2,40.09632,-88.19914,Anderson & Burkwood (SE Corner),MTD7460,ADRSNBKWD:4,40.09667,-88.199467,Anderson & Burkwood (NW Corner),,,,,,,,,,,,,,,,,,,,
ADRSNCO,Anderson and Colorado,MTD5667,31076.98,MTD5667,ADRSNCO:1,40.09475,-88.198475,Anderson & Colorado (NE Corner),MTD5667,ADRSNCO:2,40.094605,-88.198613,Anderson & Colorado (SE Corner),MTD5667,ADRSNCO:4,40.094835,-88.198703,Anderson & Colorado (NW Corner),,,,,,,,,,,,,,,
ADRSNFRLN,Anderson and Fairlawn,MTD2224,30246.08,MTD2224,ADRSNFRLN:3,40.103283,-88.200323,Anderson & Fairlawn (SW Corner),MTD2224,ADRSNFRLN:8,40.10333,-88.200498,Anderson & Fairlawn (NW Far Side),,,,,,,,,,,,,,,,,,,,
ADRSNHRDG,Anderson and Harding,MTD3324,31100.29,MTD3324,ADRSNHRDG:2,40.093762,-88.198672,Anderson & Harding (SE Corner),MTD3324,ADRSNHRDG:4,40.09372,-88.198798,Anderson & Harding (NW Corner),,,,,,,,,,,,,,,,,,,,
ADRSNMFRD,Anderson and Mumford,MTD5145,31091.01,MTD5145,ADRSNMFRD:2,40.09058,-88.199515,Anderson & Mumford (SE Corner),MTD5145,ADRSNMFRD:4,40.090797,-88.199597,Anderson & Mumford (NW Corner),,,,,,,,,,,,,,,,,,,,
ADRSNMI,Anderson and Michigan,MTD2475,30326.02,MTD2475,ADRSNMI:2,40.101497,-88.20013,Anderson & Michigan (SE Corner),MTD2475,ADRSNMI:4,40.101917,-88.2002,Anderson & Michigan (NW Corner),,,,,,,,,,,,,,,,,,,,
ADRSNSLVR,Anderson and Silver,MTD1132,31031.26,MTD1132,ADRSNSLVR:2,40.091383,-88.19951,Anderson & Silver (SE Corner),MTD1132,ADRSNSLVR:4,40.091487,-88.199627,Anderson & Silver (NW Corner),,,,,,,,,,,,,,,,,,,,
ALDI150,Aldi at Rt. 150,MTD6445,39988.38,MTD6445,ALDI150:1,40.113285,-88.165451,Aldi (South Side),MTD6445,ALDI150:2,40.113415,-88.1651,Aldi (North Side),,,,,,,,,,,,,,,,,,,,
ALPBRAD,Alpine and Bradley,MTD0795,7523.52,MTD0795,ALPBRAD:1,40.1277,-88.298342,Alpine & Bradley (NE Corner),MTD0795,ALPBRAD:4,40.127792,-88.298508,Alpine & Bradley (NW Corner),,,,,,,,,,,,,,,,,,,,
ALPTMBLN,Alpine and Timberline,MTD3624,7679.34,MTD3624,ALPTMBLN:2,40.128185,-88.298453,Alpine & Timberline (SE Corner),MTD3624,ALPTMBLN:4,40.128358,-88.298525,Alpine & Timberline (NW Corner),,,,,,,,,,,,,,,,,,,,
AMBMYRA,Amber and Myra Ridge,MTD4624,35203.16,MTD4624,AMBMYRA:2,40.087319,-88.18532,Amber & Myra Ridge (SE Corner),MTD4624,AMBMYRA:3,40.087372,-88.185483,Amber & Myra Ridge (SW Corner),MTD4624,AMBMYRA:4,40.08744,-88.185468,Amber & Myra Ridge (NW Corner),,,,,,,,,,,,,,,
