route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GREY,GR3 UIMF,[@2.0.80545657@][32][1425488265338]/22__GR3_UIMF,Parkland College,1,GR3 UIMF,7W
GREEN SATURDAY,GR1SA,[@7.0.41202550@][4][1248723156390]/0__GR1SA,Round Barn Road,1,GR1SA,[@15.0.68513015@]219
RED,R6,[@14.0.56288404@][41][1314131980715]/0__R6,Ashland Park - Apollo,0,R6,[@14.0.56288404@]24
ILLINI,I2 UIMTH,[@7.0.41200832@][2][1238430887312]/185__I2_UIMTH,PAR,1,I2 UIMTH,22S ILLINI 20
GREY EVENING,GR1 MF NOSCH,7R719__GR1_MF_NOSCH,Lincoln Square - Urbana Walmart,0,GR1 MF NOSCH,70E
TEAL SUNDAY,T1 UISU,[@124.0.92229742@][1484323714302]/33__T1_UISU,Orchard Downs,0,T1 UISU,[@124.0.92229742@]12E TEAL WEEKEND 13
TEAL,T1 NON UI MF,[@7.0.41893871@][3][1243541396687]/101__T1_NON_UI_MF,Orchard Downs,0,T1 NON UI MF,12E TEAL 13
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/113__SV1_UISA,Lincoln Square,0,SV1 UISA,[@124.0.92284627@]130N SILVER EVENING 2
TEAL LATE NIGHT SUNDAY,T1 UISU,[@124.0.92276155@][1484344792164]/74__T1_UISU,Illinois Terminal,1,T1 UISU,[@124.0.92276155@]120W TEAL LATE 12
ILLINI EVENING SATURDAY,I6 UISA,[@124.0.92260187@][1484328831455]/184__I6_UISA,PAR,1,I6 UISA,[@124.0.92260187@]220S ILLINI 20
TEAL SATURDAY,T2 NONUISA,[@12.0.44194660@][1250946648828]/150__T2_NONUISA,Orchard Downs,0,T2 NONUISA,12E TEAL WEEKEND 13
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][1][1363725754977]/10__SV2_NON_UI,Lincoln Square,0,SV2 NON UI,[@15.0.67924657@]4
ILLINI LIMITED SATURDAY,I2   UISA,[@6.0.14330204@][2][1622384378665]/33__I2___UISA,Transit Plaza,1,I2   UISA,ILLINI LIMITED WEEKEND 845
YELLOW EVENING SATURDAY,Y2 UISA,[@124.0.92247832@][1484327725398]/35__Y2_UISA,Champaign Walmart,0,Y2 UISA,[@124.0.92247832@]100N
YELLOW LATE NIGHT,T1 UI F,[@7.0.41201803@][1][1254144787718]/3__T1_UI_F,Illinois Terminal,0,T1 UI F,100N-LATE
GOLD,G2 MF,[@7.0.41203042@][4][1246652832718]/17__G2_MF,Mattis & Devonshire,1,G2 MF,10WLSG->
YELLOW,Y2 NONUIMF,[@6.0.14329702@][2][1622059251574]/8__Y2_NONUIMF,Savoy Walmart,1,Y2 NONUIMF,YELLOW 13
YELLOW SATURDAY,Y5SA,[@15.0.63192124@][2][1338469240094]/23__Y5SA,Savoy Walmart,1,Y5SA,[@14.0.57766396@]100S
GREEN LATE NIGHT,GN7 UIF,[@7.0.38112640@][4][1219153573468]/8__GN7_UIF,Illinois Terminal,1,GN7 UIF,50WLTNT->
NAVY,N1 MF,[@124.0.103534744@][31][1510337012190]/0__N1_MF,Illinois Terminal,0,N1 MF,[@124.0.103534744@]NAVY 1
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/128__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 2
GREEN SUNDAY,GN1 SU,[@124.0.92334988@][1484579202830]/31__GN1_SU,Orchard Downs,0,GN1 SU,[@124.0.92334988@]50E->PC
ILLINI LIMITED SUNDAY,I2 UISU,[@6.0.14330187@][2][1622253008700]/50__I2_UISU,Transit Plaza,1,I2 UISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
